"","Device Name","IP Address","Device Category","Device Class | Sub-class","DID","Organization","Current State","Collection Group","Collection State","SNMP Credential","SNMP Version","",""
"","BCCCRm2046AM","10.37.10.48","Pingable","Ping | ICMP","5301","VideoOps-Hold area until ready to monitor","0","4","0","0","","","5301"
"","BCCCRm2048AM","10.37.10.49","Pingable","Ping | ICMP","5300","VideoOps-Hold area until ready to monitor","0","4","1","0","","","5300"
"","choicepoint.csaa.com","172.29.90.31","Network.Firewall","Cisco Systems | ASA 5585S-SP-40-SC","4610","Network-Hold area until ready to monitor","0","5","0","81","2","","4610"
"","ciscoasa.csaa.com","10.27.95.4","Network.Firewall","Cisco Systems | ASA 5525-SC","4533","Network-Hold area until ready to monitor","0","5","0","81","2","","4533"
"","Claims.csaa.com","10.111.134.194","Network.Firewall","Cisco Systems | ASA 5520-SC","4564","Network-Hold area until ready to monitor","0","5","0","81","2","","4564"
"","coloradormb","10.35.10.178","Video.Endpoint","Polycom | Group Series 500","71","VideoOps-Hold area until ready to monitor","0","4","0","65","2","","71"
"","ColoradoSpringsAspenRm","10.35.10.177","Video.Endpoint","Polycom | Group Series 500","136","VideoOps-Hold area until ready to monitor","0","4","0","65","2","","136"
"","ColoradoSpringsTR12402","10.35.10.179","Video.Endpoint","Polycom | Group Series 700","133","VideoOps-Hold area until ready to monitor","0","4","0","65","2","","133"
"","ColoradoSpringsTR22242","10.35.10.180","Video.Endpoint","Polycom | Group Series 700","170","VideoOps-Hold area until ready to monitor","0","4","0","65","2","","170"
"","COLSP01-COLORADO","10.35.64.52","Unknown","Avaya | OEM","1858","Telephony-Hold area until ready to monitor","0","4","0","76","2","","1858"
"","COLSP02-COLORADO","10.35.64.54","Unknown","Avaya | OEM","1865","Telephony-Hold area until ready to monitor","0","4","0","76","2","","1865"
"","Content Sharing Server GDC","172.29.169.24","Pingable","Ping | ICMP","68","VideoOps-Hold area until ready to monitor","0","4","0","0","","","68"
"","Content Sharing Server PDC","172.26.169.90","Pingable","Ping | ICMP","69","VideoOps-Hold area until ready to monitor","0","4","0","0","","","69"
"","csagleazlbs01.csaa.com","172.23.85.126","Network.Switches","Cisco Systems | Catalyst 3560G-24TS","3224","Network-Hold area until ready to monitor","0","5","0","81","2","","3224"
"","csclffpsw01.ent.rt.csaa.com","192.168.173.8","Servers","Microsoft | Windows Server 2012 R2","5609","CSAA","0","4","0","69","2","","5609"
"","CSCSCFPSW01.ent.rt.csaa.com","192.168.133.16","Servers","Microsoft | Windows Server 2012 R2","5608","CSAA","2","4","0","69","2","","5608"
"","cssfddbsu23","192.168.57.62","Pingable","Ping | ICMP","5684","CSAA","1","1","0","69","2","","5684"
"","dev","172.29.250.4","Network.Firewall","Cisco Systems | ASA 5585S-SP-20-SC","4505","Network-Hold area until ready to monitor","0","5","0","81","2","","4505"
"","DMRTEST01","","Server.Utility","Cisco Systems | UCS Service Profile","4472","UCS Blade-Hold area until ready to monitor","0","4","0","69","2","","4472"
"","DMRTEST02","","Server.Utility","Cisco Systems | UCS Service Profile","4471","UCS Blade-Hold area until ready to monitor","0","4","0","69","2","","4471"
"","DMRTEST03","","Server.Utility","Cisco Systems | UCS Service Profile","4470","UCS Blade-Hold area until ready to monitor","0","4","0","69","2","","4470"
"","e01apa550","172.26.105.42","System.EM7","ScienceLogic, Inc. | EM7 Data Collector","17","System","0","4","0","35","3","","17"
"","e01apa550d","172.29.105.42","System.EM7","ScienceLogic, Inc. | EM7 Data Collector","5","System","0","4","0","35","3","","5"
"","e01apa551","172.26.105.43","System.EM7","ScienceLogic, Inc. | EM7 Data Collector","16","System","0","4","0","35","3","","16"
"","e01apa551d","172.29.105.43","System.EM7","ScienceLogic, Inc. | EM7 Data Collector","4","System","0","4","0","35","3","","4"
"","e01apl130.ext.goaaa.com","172.26.105.55","Servers","NET-SNMP | Linux","5115","CSAA","0","6","0","69","2","","5115"
"","e01apl410","209.134.202.60","Pingable","Ping | ICMP","5220","CSAA","0","6","0","69","2","","5220"
"","e01apl425","209.134.198.51","Servers","NET-SNMP | Linux","5117","CSAA","0","6","0","69","2","","5117"
"","e01apw001","172.26.105.31","Pingable","Ping | ICMP","5205","CSAA","0","6","0","0","","","5205"
"","E01APW004.ext.goaaa.com","172.29.110.151","Servers","Microsoft | Windows Server 2008 R2","5822","CSAA","0","3","0","69","2","","5822"
"","E01APW006.ext.goaaa.com","172.29.110.154","Servers","Microsoft | Windows Server 2008 R2","5825","CSAA","0","3","0","69","2","","5825"
"","e01apw008","209.134.202.44","Pingable","Ping | ICMP","5211","CSAA","0","6","0","0","","","5211"
"","e01aww326","209.134.202.36","Pingable","Ping | ICMP","5204","CSAA","0","6","0","0","","","5204"
"","e01iaw004","172.29.105.23","Pingable","Ping | ICMP","5197","CSAA","0","3","0","0","","","5197"
"","e01iaw005","172.26.105.23","Pingable","Ping | ICMP","5212","CSAA","0","6","0","0","","","5212"
"","e01iaw006","172.26.105.22","Pingable","Ping | ICMP","5213","CSAA","0","6","0","0","","","5213"
"","e01iaw007","172.29.105.22","Pingable","Ping | ICMP","5195","CSAA","0","3","0","0","","","5195"
"","e01iaw012.ext.goaaa.com","172.26.105.80","Pingable","Ping | ICMP","5209","CSAA","0","6","0","69","2","","5209"
"","E01IAW013.ext.goaaa.com","172.26.105.81","Servers","Microsoft | Windows Server 2012 R2","5227","CSAA","0","6","0","69","2","","5227"
"","e01iaw014d","172.29.105.80","Pingable","Ping | ICMP","5191","CSAA","0","3","0","0","","","5191"
"","e01iaw015d.ext.goaaa.com","172.29.105.81","Servers","Microsoft | Windows Server 2012 R2","5194","CSAA","0","3","0","69","2","","5194"
"","e01iml851","209.134.198.54","Pingable","Ping | ICMP","5596","CSAA","0","6","0","0","","","5596"
"","e01iml852","209.134.198.55","Pingable","Ping | ICMP","5597","CSAA","0","6","0","0","","","5597"
"","e01iml853","209.134.198.59","Pingable","Ping | ICMP","5598","CSAA","0","6","0","0","","","5598"
"","e01iml857","209.134.214.30","Pingable","Ping | ICMP","5603","CSAA","0","6","0","0","","","5603"
"","e01iml858","209.134.214.31","Pingable","Ping | ICMP","5602","CSAA","0","6","0","0","","","5602"
"","e01iml859","209.134.214.32","Pingable","Ping | ICMP","5601","CSAA","0","6","0","0","","","5601"
"","e01imw831","209.134.202.51","Pingable","Ping | ICMP","5216","CSAA","0","6","0","0","","","5216"
"","e01imw832","209.134.202.52","Pingable","Ping | ICMP","5215","CSAA","0","6","0","0","","","5215"
"","e01imw838","209.134.218.40","Pingable","Ping | ICMP","5196","CSAA","0","3","0","0","","","5196"
"","e01imw839","209.134.218.39","Pingable","Ping | ICMP","5192","CSAA","0","3","0","0","","","5192"
"","e01isa121","172.26.110.81","Pingable","Ping | ICMP","5569","CSAA","0","1","0","0","","","5569"
"","e01isa121d","172.29.110.81","Pingable","Ping | ICMP","5587","CSAA","0","1","0","0","","","5587"
"","e01isw005","172.26.105.32","Pingable","Ping | ICMP","5214","CSAA","0","6","0","0","","","5214"
"","e01isw006","172.29.105.32","Pingable","Ping | ICMP","5198","CSAA","0","3","0","0","","","5198"
"","e01isw009","172.26.110.70","Pingable","Ping | ICMP","5350","Decommed Devices","0","1","1","0","","","5350"
"","e01isw009","172.26.110.70","Pingable","Ping | ICMP","5218","Decommed Devices","0","6","1","0","","","5218"
"","e01isw018","172.26.108.16","Pingable","Ping | ICMP","5202","CSAA","0","6","0","0","","","5202"
"","e01isw019","172.29.108.16","Pingable","Ping | ICMP","5193","CSAA","0","3","0","0","","","5193"
"","E01ISW020.ext.goaaa.com","172.29.108.17","Servers","Microsoft | Windows Server 2012 R2","5767","CSAA","0","3","0","69","2","","5767"
"","e01itl008","209.134.214.46","Pingable","Ping | ICMP","5319","CSAA","0","6","0","0","","","5319"
"","e01itl009","209.134.214.47","Pingable","Ping | ICMP","5321","CSAA","0","6","0","0","","","5321"
"","e01itl011","209.134.202.48","Pingable","Ping | ICMP","5689","CSAA","0","6","0","69","2","","5689"
"","e01itl011d","209.134.214.50","Pingable","Ping | ICMP","5322","CSAA","0","3","0","69","2","","5322"
"","e01itl012","209.134.202.49","Pingable","Ping | ICMP","5688","CSAA","0","6","0","69","2","","5688"
"","e01itl012d","209.134.214.51","Pingable","Ping | ICMP","5320","CSAA","0","3","0","69","2","","5320"
"","e01itw007","172.26.105.38","Pingable","Ping | ICMP","5203","CSAA","0","6","0","0","","","5203"
"","e01itw008","172.29.105.27","Pingable","Ping | ICMP","5201","CSAA","0","3","0","0","","","5201"
"","e01itw010.ext.goaaa.com","172.26.105.30","Pingable","Ping | ICMP","5207","CSAA","0","6","0","0","","","5207"
"","e01taa002","172.29.108.39","Pingable","Ping | ICMP","5096","Telephony-Hold area until ready to monitor","0","1","0","0","","","5096"
"","e01wal600.ext.goaaa.com","209.134.198.60","Servers","NET-SNMP | Linux","5094","CSAA","0","6","0","69","2","","5094"
"","e01wal600d.ext.goaaa.com","209.134.214.80","Servers","NET-SNMP | Linux","5324","CSAA","0","3","0","69","2","","5324"
"","e01wal601.ext.goaaa.com","209.134.198.61","Servers","NET-SNMP | Linux","5091","CSAA","0","6","0","69","2","","5091"
"","e01wal601d.ext.goaaa.com","209.134.214.36","Servers","NET-SNMP | Linux","5161","CSAA","0","3","0","69","2","","5161"
